#{"t_start": 1740957963.068079, "env_id": "gripper-env-v0"}
r,l,t
-39900.101306,200,6.287481
-38894.733905,200,13.238218
-40000.0,200,20.124604
-38806.760454,200,27.822012
-40000.0,200,35.07222
-40000.0,200,42.689455
2187.584335,50,46.224332
5297.256573,26,48.040987
-40000.0,200,55.723596
-35813.811521,200,62.990596
6599.22006,20,64.491516
-39307.712934,200,71.691371
-38092.106447,200,79.575006
-40000.0,200,86.980543
8001.210058,12,88.34219
-40000.0,200,95.558946
-40000.0,200,103.042772
-40000.0,200,110.593776
6612.389696,19,111.82867
-40000.0,200,119.32675
-40000.0,200,126.460389
-18299.995166,143,132.211004
-16104.20523,137,137.927907
5600.142363,24,139.700362
-40000.0,200,147.244924
-40000.0,200,154.815913
-40000.0,200,162.22931
-39902.36305,200,169.147086
8994.37569,8,170.279668
-40000.0,200,177.680189
1062.393291,55,181.164059
10000.0,1,182.147332
-40000.0,200,189.314117
-1393.785172,60,192.167494
-39800.00014,200,199.064946
-40000.0,200,206.37149
-39399.779121,200,213.438452
-39185.369776,200,221.050846
4454.626793,39,222.999832
5707.117623,24,224.516119
-38737.869267,200,232.200134
-38604.502421,200,239.217685
-40000.0,200,246.434057
-40000.0,200,254.017863
-39812.163027,200,261.702194
-39800.001143,200,269.135664
-2899.75973,67,272.302435
-1002.538145,67,275.35272
5882.561601,24,277.002255
-39607.552346,200,284.550688
7119.964639,22,286.286504
-39785.494871,200,293.676308
-39899.983856,200,300.887102
-40000.0,200,308.470739
-1485.330979,75,312.571488
-39315.321601,200,320.205343
7689.312395,15,321.655355
10000.0,1,322.621668
-39421.029858,200,330.111123
-39599.367034,200,340.072447
-6000.436072,83,350.206445
-40000.0,200,357.540795
384.368475,52,360.190842
-39299.979566,200,367.673837
-40000.0,200,375.1577
-36518.126257,200,382.36
-39501.587926,200,389.825209
-40000.0,200,397.392598
-39406.787348,200,404.859885
-39902.635505,200,412.61044
-39605.167926,200,420.127246
-28092.012793,196,427.730642
-39608.695885,200,435.111317
-40000.0,200,442.980468
